1600499633.8062	x	0.0000	y	0.0000	z	0.0000
1600499633.8082	x	0.0000	y	0.0000	z	0.0000
1600499633.8132	x	0.0000	y	-0.0002	z	0.0000
1600499633.8181	x	0.0000	y	-0.0002	z	-0.0000
1600499633.8233	x	0.0000	y	-0.0003	z	0.0000
1600499633.8286	x	0.0000	y	-0.0004	z	0.0000
1600499633.8333	x	0.0000	y	-0.0004	z	0.0000
1600499633.8383	x	0.0000	y	-0.0005	z	0.0000
1600499633.8433	x	0.0000	y	-0.0006	z	0.0000
1600499633.8484	x	0.0000	y	-0.0007	z	0.0000
1600499633.8533	x	-0.0002	y	-0.0004	z	0.0001
1600499633.8583	x	-0.0002	y	-0.0005	z	0.0001
1600499633.8635	x	-0.0002	y	-0.0006	z	0.0001
1600499633.8683	x	-0.0002	y	-0.0007	z	0.0001
1600499633.8732	x	-0.0003	y	-0.0008	z	0.0001
1600499633.8782	x	-0.0003	y	-0.0009	z	0.0001
1600499633.8832	x	0.0005	y	-0.0007	z	0.0000
1600499633.8883	x	0.0005	y	-0.0008	z	0.0000
1600499633.8932	x	0.0006	y	-0.0009	z	0.0000
1600499633.8983	x	0.0007	y	-0.0010	z	0.0000
1600499633.9032	x	0.0007	y	-0.0012	z	0.0000
1600499633.9081	x	0.0008	y	-0.0013	z	0.0000
1600499633.9131	x	0.0001	y	-0.0007	z	0.0001
1600499633.9183	x	0.0001	y	-0.0008	z	0.0001
1600499633.9233	x	0.0001	y	-0.0009	z	0.0002
1600499633.9284	x	0.0001	y	-0.0010	z	0.0002
1600499633.9334	x	0.0001	y	-0.0011	z	0.0002
1600499633.9385	x	0.0002	y	-0.0012	z	0.0002
1600499633.9435	x	0.0002	y	-0.0013	z	0.0002
1600499633.9485	x	-0.0002	y	-0.0002	z	-0.0000
1600499633.9534	x	-0.0003	y	-0.0002	z	-0.0000
1600499633.9585	x	-0.0003	y	-0.0003	z	-0.0000
1600499633.9637	x	-0.0003	y	-0.0003	z	-0.0000
